id,full_name,email,phone_number,emergency_contact,password_hash,role,staff_type
1,John Garcia,patient1@email.com,"{""primary"": ""+1-227-747-6899"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-833-345-1439""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
2,John Brown,patient2@email.com,"{""primary"": ""+1-496-211-7470"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-580-738-2073""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
3,Sarah Jones,patient3@email.com,"{""primary"": ""+1-615-947-7349"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-225-533-7436""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
4,Sarah Johnson,patient4@email.com,"{""primary"": ""+1-880-652-9294"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-454-989-4089""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
5,Lisa Brown,patient5@email.com,"{""primary"": ""+1-587-941-7997"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-412-757-6606""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
6,Jane Garcia,patient6@email.com,"{""primary"": ""+1-558-406-3348"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-853-117-3539""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
7,Lisa Jones,patient7@email.com,"{""primary"": ""+1-634-890-2774"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-380-589-5140""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
8,David Smith,patient8@email.com,"{""primary"": ""+1-681-927-4050"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-993-601-6270""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
9,Jane Johnson,patient9@email.com,"{""primary"": ""+1-493-157-8234"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-216-518-4645""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
10,Lisa Johnson,patient10@email.com,"{""primary"": ""+1-996-448-8760"", ""type"": ""mobile""}","{""name"": ""Emergency Contact"", ""relationship"": ""Family"", ""phone"": ""+1-225-431-3617""}",b936f714e474cd6ccc2843f2a5e9b1c6dd5a3c00fa5e1069b77fbb2d40524d3d,patient,
